,name,album,artist,release_date,length,popularity_,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,days_since,liveness_speechiness_feat,danceability_speechiness_feat,length_speechiness_feat,instrumentalness_time_signature_feat,length_tempo_feat,Unnamed: 0,artist_id,popularity_meta,followers,popularity_sum,popularity_count,popularity_sum_album,popularity_count_album,artist_avg_pop_other,album_avg_pop_other,imputed_album_avg_pop_other
43,Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,86,0.552,0.117,0.7020000000000001,2.0600000000000006e-05,0.105,-5.707000000000002,0.157,169.99400000000003,4,1148,1.0,2.0,2.0,2.0,2.0,10.0,06HL4z0CvFAxyc27GXpf02,100.0,62572904.0,1218,15,332,4,80.85714285714286,82.0,0
44,Lover,Lover,Taylor Swift,2019-08-23,221306,86,0.359,0.4920000000000001,0.5429999999999999,1.58e-05,0.118,-7.582000000000002,0.0919,68.53399999999999,4,1148,1.0,2.0,2.0,2.0,2.0,10.0,06HL4z0CvFAxyc27GXpf02,100.0,62572904.0,1218,15,332,4,80.85714285714286,82.0,0
45,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,613026,85,0.631,0.274,0.518,0.0,0.08800000000000001,-8.771,0.0303,93.023,4,336,1.0,2.0,2.0,2.0,2.0,10.0,06HL4z0CvFAxyc27GXpf02,100.0,62572904.0,1218,15,161,2,80.92857142857143,76.0,0
46,cardigan,folklore,Taylor Swift,2020-07-24,239560,83,0.613,0.537,0.581,0.00034500000000000004,0.25,-8.588,0.0424,130.033,4,812,1.0,2.0,2.0,2.0,2.0,10.0,06HL4z0CvFAxyc27GXpf02,100.0,62572904.0,1218,15,251,3,81.07142857142857,84.0,0
47,Paper Rings,Lover,Taylor Swift,2019-08-23,222400,83,0.8109999999999999,0.0129,0.7190000000000001,1.36e-05,0.0742,-6.553,0.0497,103.979,4,1148,1.0,2.0,2.0,2.0,2.0,10.0,06HL4z0CvFAxyc27GXpf02,100.0,62572904.0,1218,15,332,4,81.07142857142857,83.0,0
48,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift,2021-09-17,220433,83,0.583,0.0374,0.67,0.0001,0.126,-7.289,0.0646,140.061,4,392,1.0,2.0,2.0,2.0,2.0,10.0,06HL4z0CvFAxyc27GXpf02,100.0,62572904.0,1218,15,83,1,81.07142857142857,81.07142857142857,1
49,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,243136,83,0.402,0.0033,0.732,0.0,0.108,-4.665,0.0484,161.032,4,553,1.0,2.0,2.0,2.0,2.0,10.0,06HL4z0CvFAxyc27GXpf02,100.0,62572904.0,1218,15,83,1,81.07142857142857,81.07142857142857,1
50,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,87,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4,448,1.0,2.0,2.0,2.0,2.0,11.0,2tIP7SsRs7vjIcLrU85W8J,80.0,4090880.0,687,9,87,1,75.0,75.0,1
51,Ghost,Justice,Justin Bieber,2021-03-19,153190,89,0.601,0.185,0.741,2.9100000000000006e-05,0.415,-5.569,0.0478,153.96,4,574,2.0,2.0,2.0,2.0,2.0,12.0,1uNFoZAHBGtllmzznpCI3s,89.0,67640519.0,728,9,400,5,79.875,77.75,0
52,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,198081,86,0.677,0.321,0.696,0.0,0.42,-6.181,0.119,90.03,4,574,2.0,2.0,2.0,2.0,2.0,12.0,1uNFoZAHBGtllmzznpCI3s,89.0,67640519.0,728,9,400,5,80.25,78.5,0
53,Love Yourself,Purpose (Deluxe),Justin Bieber,2015-11-13,233720,85,0.609,0.835,0.378,0.0,0.28,-9.828,0.438,100.418,4,2527,2.0,2.0,2.0,2.0,2.0,12.0,1uNFoZAHBGtllmzznpCI3s,89.0,67640519.0,728,9,246,3,80.375,80.5,0
54,Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,2020-05-08,228482,84,0.597,0.223,0.45,0.0,0.382,-6.658,0.0418,178.765,3,889,2.0,2.0,2.0,2.0,2.0,13.0,66CXWjxzNUsdJxJ2JdwvnR,88.0,85056061.0,661,8,84,1,82.42857142857143,82.42857142857143,1
55,Baby,My World 2.0,Justin Bieber,2010-01-01,214240,82,0.728,0.0401,0.8590000000000001,0.0,0.111,-5.237,0.13699999999999998,65.043,4,4669,2.0,2.0,2.0,2.0,2.0,12.0,1uNFoZAHBGtllmzznpCI3s,89.0,67640519.0,728,9,82,1,80.75,80.75,1
56,Sorry,Purpose (Deluxe),Justin Bieber,2015-11-13,200786,82,0.654,0.0797,0.76,0.0,0.299,-3.669,0.045,99.945,4,2527,2.0,2.0,2.0,2.0,2.0,12.0,1uNFoZAHBGtllmzznpCI3s,89.0,67640519.0,728,9,246,3,80.75,82.0,0
57,I Don't Care (with Justin Bieber),No.6 Collaborations Project,Ed Sheeran,2019-07-12,219946,75,0.7979999999999999,0.0902,0.6759999999999999,0.0,0.0894,-5.041,0.0442,101.956,4,1190,1.0,3.0,2.0,2.0,2.0,4.0,6eUKZXaKkcviH0Ku9w2n3V,89.0,105322954.0,998,13,215,3,76.91666666666667,70.0,0
58,What Do You Mean?,Purpose (Deluxe),Justin Bieber,2015-11-13,205680,79,0.845,0.59,0.5670000000000001,0.0014199999999999998,0.0811,-8.118,0.0956,125.02,4,2527,2.0,2.0,2.0,2.0,2.0,12.0,1uNFoZAHBGtllmzznpCI3s,89.0,67640519.0,728,9,246,3,81.125,83.5,0
59,Hold On,Justice,Justin Bieber,2021-03-19,170813,79,0.6579999999999999,0.0104,0.634,0.0,0.12,-6.068,0.0431,140.002,4,574,2.0,2.0,2.0,2.0,2.0,12.0,1uNFoZAHBGtllmzznpCI3s,89.0,67640519.0,728,9,400,5,81.125,80.25,0
60,positions,Positions,Ariana Grande,2020-10-30,172324,85,0.737,0.468,0.802,0.0,0.0931,-4.771,0.0878,144.015,4,714,2.0,2.0,2.0,2.0,2.0,13.0,66CXWjxzNUsdJxJ2JdwvnR,88.0,85056061.0,661,8,166,2,82.28571428571429,81.0,0
61,7 rings,"thank u, next",Ariana Grande,2019-02-08,178626,85,0.778,0.5920000000000001,0.317,0.0,0.0881,-10.732,0.334,140.048,4,1344,2.0,2.0,2.0,2.0,2.0,13.0,66CXWjxzNUsdJxJ2JdwvnR,88.0,85056061.0,661,8,168,2,82.28571428571429,83.0,0
62,One Last Time,My Everything (Deluxe),Ariana Grande,2014-08-25,197266,83,0.628,0.093,0.593,1.65e-06,0.096,-5.0360000000000005,0.0323,125.026,4,2972,2.0,2.0,2.0,2.0,2.0,13.0,66CXWjxzNUsdJxJ2JdwvnR,88.0,85056061.0,661,8,83,1,82.57142857142857,82.57142857142857,1
63,"thank u, next","thank u, next",Ariana Grande,2019-02-08,207320,83,0.7170000000000001,0.229,0.653,0.0,0.101,-5.634,0.0658,106.966,4,1344,2.0,2.0,2.0,2.0,2.0,13.0,66CXWjxzNUsdJxJ2JdwvnR,88.0,85056061.0,661,8,168,2,82.57142857142857,85.0,0
64,34+35,Positions,Ariana Grande,2020-10-30,173710,81,0.83,0.237,0.585,0.0,0.248,-6.476,0.094,109.978,4,714,2.0,2.0,2.0,2.0,2.0,13.0,66CXWjxzNUsdJxJ2JdwvnR,88.0,85056061.0,661,8,166,2,82.85714285714286,85.0,0
65,God is a woman,Sweetener,Ariana Grande,2018-08-17,197546,80,0.602,0.0233,0.6579999999999999,6e-05,0.237,-5.934,0.0558,145.031,4,1519,2.0,2.0,2.0,2.0,2.0,13.0,66CXWjxzNUsdJxJ2JdwvnR,88.0,85056061.0,661,8,80,1,83.0,83.0,1
66,boyfriend (with Social House),boyfriend,Ariana Grande,2019-08-02,186106,80,0.4,0.119,0.795,0.0,0.159,-3.731,0.461,190.097,4,1169,2.0,2.0,2.0,2.0,2.0,13.0,66CXWjxzNUsdJxJ2JdwvnR,88.0,85056061.0,661,8,80,1,83.0,83.0,1
67,Bang Bang,Sweet Talker (Deluxe Version),Jessie J,2014-10-14,199386,80,0.706,0.26,0.7859999999999999,0.0,0.38,-3.417,0.091,150.028,4,2922,1.0,2.0,2.0,2.0,2.0,14.0,2gsggkzM5R49q6jpPvazou,71.0,10554546.0,558,9,142,2,59.75,62.0,0
68,Without Me,The Eminem Show,Eminem,2002-05-26,290320,89,0.908,0.00286,0.669,0.0,0.237,-2.827,0.0738,112.238,4,7446,2.0,2.0,2.0,2.0,2.0,15.0,7dGJo4pcD2V6oG8kP0tJRR,90.0,61957032.0,1055,13,261,3,80.5,86.0,0
69,The Real Slim Shady,The Marshall Mathers LP,Eminem,2000-05-23,284200,88,0.949,0.0302,0.6609999999999999,0.0,0.0454,-4.244,0.0572,104.504,4,8179,2.0,2.0,2.0,2.0,2.0,15.0,7dGJo4pcD2V6oG8kP0tJRR,90.0,61957032.0,1055,13,173,2,80.58333333333333,85.0,0
70,Till I Collapse,The Eminem Show,Eminem,2002-05-26,297786,86,0.5479999999999999,0.0622,0.847,0.0,0.0816,-3.237,0.18600000000000005,171.447,4,7446,2.0,2.0,2.0,2.0,2.0,15.0,7dGJo4pcD2V6oG8kP0tJRR,90.0,61957032.0,1055,13,261,3,80.75,87.5,0
71,Superman,The Eminem Show,Eminem,2002-05-26,350320,86,0.802,0.0215,0.755,0.0,0.295,-3.138,0.0564,130.02700000000002,4,7446,2.0,2.0,2.0,2.0,2.0,15.0,7dGJo4pcD2V6oG8kP0tJRR,90.0,61957032.0,1055,13,261,3,80.75,87.5,0
72,Stan,The Marshall Mathers LP,Eminem,2000-05-23,404106,85,0.78,0.0371,0.768,2.34e-06,0.518,-4.325,0.238,80.063,4,8179,2.0,2.0,2.0,2.0,2.0,15.0,7dGJo4pcD2V6oG8kP0tJRR,90.0,61957032.0,1055,13,173,2,80.83333333333333,88.0,0
73,Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,2020-01-17,210800,84,0.8079999999999999,0.145,0.745,0.0,0.292,-5.26,0.342,165.995,4,1001,2.0,2.0,2.0,2.0,2.0,15.0,7dGJo4pcD2V6oG8kP0tJRR,90.0,61957032.0,1055,13,84,1,80.91666666666667,80.91666666666667,1
74,Love The Way You Lie,Recovery,Eminem,2010-06-18,263373,84,0.7490000000000001,0.241,0.925,0.0,0.52,-5.034,0.227,86.98899999999998,4,4501,2.0,2.0,2.0,2.0,2.0,15.0,7dGJo4pcD2V6oG8kP0tJRR,90.0,61957032.0,1055,13,165,2,80.91666666666667,81.0,0
75,Mockingbird,Encore (Deluxe Version),Eminem,2004-11-12,250760,81,0.637,0.209,0.6779999999999999,0.0,0.156,-3.798,0.266,84.039,4,6545,2.0,2.0,2.0,2.0,2.0,15.0,7dGJo4pcD2V6oG8kP0tJRR,90.0,61957032.0,1055,13,81,1,81.16666666666667,81.16666666666667,1
76,Not Afraid,Recovery,Eminem,2010-06-18,248133,81,0.855,0.529,0.954,0.0,0.205,-1.19,0.264,114.635,5,4501,2.0,2.0,2.0,2.0,2.0,15.0,7dGJo4pcD2V6oG8kP0tJRR,90.0,61957032.0,1055,13,165,2,81.16666666666667,84.0,0
77,"Lose Yourself - From ""8 Mile"" Soundtrack",Curtain Call: The Hits (Deluxe Edition),Eminem,2005-12-06,326466,78,0.6920000000000001,0.00868,0.7440000000000001,0.000423,0.359,-4.565,0.257,171.37400000000005,4,6156,2.0,2.0,2.0,2.0,2.0,15.0,7dGJo4pcD2V6oG8kP0tJRR,90.0,61957032.0,1055,13,78,1,81.41666666666667,81.41666666666667,1
78,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,2022-06-03,192840,92,0.733,0.121,0.67,0.0,0.121,-6.009,0.0751,100.964,4,133,3.0,3.0,3.0,2.0,2.0,16.0,246dkjvS1zLTtiykXe5h60,87.0,38827986.0,905,11,243,3,81.3,75.5,0
79,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,88,0.695,0.192,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4,1134,3.0,3.0,3.0,2.0,2.0,16.0,246dkjvS1zLTtiykXe5h60,87.0,38827986.0,905,11,332,4,81.7,81.33333333333333,0
80,rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,2018-04-27,218146,85,0.585,0.124,0.52,7.01e-05,0.131,-6.136,0.0712,159.80100000000004,4,1631,3.0,3.0,3.0,2.0,2.0,16.0,246dkjvS1zLTtiykXe5h60,87.0,38827986.0,905,11,167,2,82.0,82.0,0
81,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,2019-09-06,157560,81,0.755,0.5329999999999999,0.522,0.0,0.0685,-4.368,0.0575,89.96,4,1134,3.0,3.0,3.0,2.0,2.0,16.0,246dkjvS1zLTtiykXe5h60,87.0,38827986.0,905,11,332,4,82.4,83.66666666666667,0
82,Congratulations,Stoney (Deluxe),Post Malone,2016-12-09,220293,83,0.63,0.215,0.804,0.0,0.253,-4.183,0.0363,123.146,4,2135,3.0,3.0,3.0,2.0,2.0,16.0,246dkjvS1zLTtiykXe5h60,87.0,38827986.0,905,11,163,2,82.2,80.0,0
