name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,track_id,genres
rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,2018-04-27,218146,85,0.585,0.124,0.52,7.01e-05,0.131,-6.136,0.0712,159.801,4,0e7ipj03S05BNilyu5bRzt,"['dfw rap', 'melodic rap', 'rap']"
Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,2019-09-06,157560,81,0.755,0.533,0.522,0.0,0.0685,-4.368,0.0575,89.96,4,3KkXRkHbMCARz0aVfEt68P,"['dfw rap', 'melodic rap', 'rap']"
Congratulations,Stoney (Deluxe),Post Malone,2016-12-09,220293,83,0.63,0.215,0.804,0.0,0.253,-4.183,0.0363,123.146,4,3a1lNhkSLSkpJE4MSHpDu9,"['dfw rap', 'melodic rap', 'rap']"
Better Now,beerbongs & bentleys,Post Malone,2018-04-27,231266,82,0.68,0.331,0.578,0.0,0.135,-5.804,0.04,145.038,4,7dt6x5M1jzdTEt8oCbisTK,"['dfw rap', 'melodic rap', 'rap']"
Wow.,Hollywood's Bleeding,Post Malone,2019-09-06,149546,82,0.829,0.136,0.539,1.78e-06,0.103,-7.359,0.208,99.96,4,7xQAfvXzm3AkraOtGPWIZg,"['dfw rap', 'melodic rap', 'rap']"
Goodbyes (feat. Young Thug),Hollywood's Bleeding,Post Malone,2019-09-06,174853,81,0.548,0.456,0.653,0.0,0.103,-3.875,0.081,150.068,4,0t3ZvGKlmYmVsDzBJAXK8C,"['dfw rap', 'melodic rap', 'rap']"
One Right Now (with The Weeknd),Twelve Carat Toothache,Post Malone,2022-06-03,192721,74,0.682,0.0363,0.764,0.0,0.103,-5.411,0.0477,97.023,4,00Blm7zeNqgYLPtW6zg8cj,"['dfw rap', 'melodic rap', 'rap']"
I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,223346,80,0.556,0.0689,0.538,0.0,0.196,-5.408,0.0382,143.95,4,75ZvA4QfFiZvzhj2xkaWAh,"['dfw rap', 'melodic rap', 'rap']"
Left and Right (Feat. Jung Kook of BTS),CHARLIE,Charlie Puth,2022-10-06,154486,73,0.881,0.619,0.592,1.32e-05,0.0901,-4.898,0.0324,101.058,4,0mBP9X2gPCuapvpZ7TGDk3,"['dance pop', 'pop', 'viral pop']"
Bad Decisions (with BTS & Snoop Dogg),Bad Decisions (with BTS & Snoop Dogg),benny blanco,2022-08-05,172714,88,0.762,0.0185,0.861,0.0,0.264,-3.296,0.0955,120.048,4,0xzI1KAr0Yd9tv8jlIk3sn,"['dance pop', 'edm', 'electropop', 'pop', 'pop rap']"
Dynamite,BE,BTS,2020-11-20,199053,86,0.746,0.0112,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,5QDLhrAOJJdNAmCTJ8xMyW,"['k-pop', 'k-pop boy group']"
